,,,EPICS Channel Access Device,,,,,,,,,,,,,,,,,,,,,,,,,,,Sections Table Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Element,Area,Type,Control System Name,Area2,Component Name,Component Comments,Slc Name,Symbols Upload Id,Ltu Upload Id,First Sourced From,Active,Filename,Sector,Sector Location,Undulator Cell,Keyword,Barcode,Engineering Name,SumL (m),SumL (ft),Linac Z (m),Linac Z (ft),Ltu SumL (m),Ltu SumL (ft),Ltu Linac Z (m),Ltu Linac Z (ft),Local Area Drawing,Irmis Ioc Names,Element Comment,Sections,Begin Dbmark,Begin SumL (m),End Dbmark,End SumL (m),Bsa Device,Obstruction,Effective Length (m),Rf Frequency (MHz),Rf Amplitude (MeV),Rf Phase (deg),Rf Gradient (MeV/m),Rf Power Fraction,Z Length (m),Fringe Field Integral,Integrated Field BL (kG-m),Field B (T),Integrated Field Grad GL (kG),Field Gradient G (T/m),Xal Scale Name,Xal Scale Value,Xal Polarity,Magnet X Coor (m),Magnet Y Coor (m),Magnet Z Coor (m),Magnet X Angle (rad),Magnet Y Angle (rad),Magnet Z Angle (rad),Solenoid Strength KS (1/m),Undulator Period Length (m),Undulator Strength K,X Size (m),Y Size (m),Section,Dist From Section Start (m),Xal Keyword,S Display,Ltu Rf Frequency (MHz),Ltu Rf Amplitude (MeV),Ltu Rf Phase (deg),Ltu Rf Gradient (MeV/m),Ltu Rf Power Fraction,Ltu Z Length (m),Ltu Fringe Field Integral,Ltu Integrated Field BL (kG-m),Ltu Field B (T),Ltu Integrated Field Grad GL (kG),Ltu Field Gradient G (T/m),Ltu Xal Scale Name,Ltu Xal Scale Value,Ltu Xal Polarity,Ltu Magnet X Coor,Ltu Magnet Y Coor,Ltu Magnet Z Coor,Ltu Magnet X Angle,Ltu Magnet Y Angle,Ltu Magnet Z Angle,Ltu Solenoid Strength Ks,Ltu Undulator Period Length,Ltu Undulator Strength K,Ltu X Size,Ltu Y Size,Ltu Section,Ltu Dist From Section Start,Ltu Xal Keyword,Ltu S Display,Ioc Captar Search,Slc Captar Search,Operation Status,Op Status Date,Beampath
BEGGUNLEI,GUNLEI,MAD,,,,,,308,,SYMBOLS,A,AD_ACCEL,,,,INST,,,0,0,-29.234104,-95.912415,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.23410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
CATHODELEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,INST,,,0,0,-29.234104,-95.912415,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.23410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
CQ01LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,QUAD,,SOLENOID TRIM,.191,.62664,-29.043104,-95.285774,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,-29.04310408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
SOL1LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,SOLE,,DANFYSIK HTS,.191,.62664,-29.043104,-95.285774,,,,,,,,"	- NO SECTION -",,,,,,N,.134,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,,-29.04310408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
SQ01LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,QUAD,,SOLENOID TRIM,.191,.62664,-29.043104,-95.285774,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,-29.04310408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
VV01LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,INST,,,.486,1.594488,-28.748104,-94.317927,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.74810408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
XC01LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,XCOR,,LBNL-XY,.562102,1.844167,-28.672002,-94.068248,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.67200208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
YC01LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,YCOR,,LBNL-XY,.562102,1.844167,-28.672002,-94.068248,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.67200208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
