BPM1LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,BPM,,STRIPLINE-4,.566142,1.857421,-28.667962,-94.054993,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.66796208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
IM01LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,IMON,,ICT,.648537,2.127746,-28.585567,-93.784669,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.58556708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
XC02LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,XCOR,,LBNL-XY,.707687,2.321808,-28.526417,-93.590607,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.52641708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
YC02LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,YCOR,,LBNL-XY,.707687,2.321808,-28.526417,-93.590607,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.52641708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
BUN1LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,BNCH,,LCLS-II,.91,2.985564,-28.324104,-92.92685,,,,,,,,"	- NO SECTION -",,,,,,N,.358132,1300,.3510882592,-42.840039888,.980331998258,1,,,,,,,,,,,,,,,,,,,,,,,,-28.32410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
XC03LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,XCOR,,LBNL-XY,1.137415,3.731677,-28.096689,-92.180738,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.09668908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
YC03LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,YCOR,,LBNL-XY,1.137415,3.731677,-28.096689,-92.180738,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.09668908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
AM00LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,INST,,,1.329735,4.362648,-27.904369,-91.549767,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.90436908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
XC04LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,XCOR,,LBNL-XY,1.565637,5.136604,-27.668467,-90.77581,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.66846708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
YC04LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,YCOR,,LBNL-XY,1.565637,5.136604,-27.668467,-90.77581,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.66846708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
YAG01LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,PROF,,YAG,1.69397,5.557644,-27.540134,-90.35477,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.54013408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
YAG01LEI_COLL,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,PC,,COLLIMATOR,1.69397,5.557644,-27.540134,-90.35477,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,-27.54013408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
CQ02LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,QUAD,,SOLENOID TRIM,1.88,6.167979,-27.354104,-89.744436,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,-27.35410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
SOL2LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,SOLE,,APEX,1.88,6.167979,-27.354104,-89.744436,,,,,,,,"	- NO SECTION -",,,,,,N,.135,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,,-27.35410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
SQ02LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,QUAD,,SOLENOID TRIM,1.88,6.167979,-27.354104,-89.744436,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,-27.35410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
VV02LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,INST,,,2.146,7.040682,-27.088104,-88.871732,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.08810408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
XC05LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,XCOR,,LBNL-XY,2.222102,7.290361,-27.012002,-88.622054,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.01200208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
YC05LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,YCOR,,LBNL-XY,2.222102,7.290361,-27.012002,-88.622054,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.01200208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
BPM2LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,BPM,,STRIPLINE-4,2.226142,7.303615,-27.007962,-88.608799,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.00796208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
BUN2LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,BNCH,,9-CELL SRF,3.4,11.154856,-25.834104,-84.757559,,,,,,,,"	- NO SECTION -",,,,,,N,1.037742,1300,8.857863054,-58.152866904,8.535708349474,1,,,,,,,,,,,,,,,,,,,,,,,,-25.83410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
BPM3LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,BPM,,BUTTON-1,4.543,14.904856,-24.691104,-81.007559,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.69110408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
CQ03LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,QUAD,,SOLENOID TRIM,4.8,15.748031,-24.434104,-80.164383,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,-24.43410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
SOL3LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,SOLE,,CRYO,4.8,15.748031,-24.434104,-80.164383,,,,,,,,"	- NO SECTION -",,,,,,N,.135,,,,,,,,0,0,,,,,,,,,,,,0,,,,,,,,-24.43410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
SQ03LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,QUAD,,SOLENOID TRIM,4.8,15.748031,-24.434104,-80.164383,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,-24.43410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
XC06LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,XCOR,,SOLENOID TRIM,4.8,15.748031,-24.434104,-80.164383,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.43410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
YC06LEI,GUNLEI,MAD,,GUNLEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,YCOR,,SOLENOID TRIM,4.8,15.748031,-24.434104,-80.164383,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.43410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
BEGL0LEI,L0LEI,MAD,,,,,,308,,SYMBOLS,A,AD_ACCEL,,,,INST,,,5.20975,17.092356,-24.024354,-78.820059,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.02435408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
ENDGUNLEI,GUNLEI,MAD,,,,,,308,,SYMBOLS,A,AD_ACCEL,,,,INST,,,5.20975,17.092356,-24.024354,-78.820059,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.02435408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
CAVL001,L0LEI,MAD,,L0LEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,LCAV,,CRYO,6.5,21.325459,-22.734104,-74.586955,,,,,,,,"	- NO SECTION -",,,,,,N,1.037743,1300,11.25848624,-45.577049724,10.849011980808,1,,,,,,,,,,,,,,,,,,,,,,,,-22.73410408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
CAVL002,L0LEI,MAD,,L0LEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,LCAV,,CRYO,7.8836,25.864829,-21.350504,-70.047585,,,,,,,,"	- NO SECTION -",,,,,,N,1.037743,1300,8.598093867,-16.4628221796,8.285378814408,1,,,,,,,,,,,,,,,,,,,,,,,,-21.35050408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
CAVL003,L0LEI,MAD,,L0LEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,LCAV,,CRYO,9.2672,30.404199,-19.966904,-65.508215,,,,,,,,"	- NO SECTION -",,,,,,N,1.037743,1300,.9883692284,-25.4686421016,.952421966132,1,,,,,,,,,,,,,,,,,,,,,,,,-19.96690408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
PEN0007,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,00,0-7,,PEN,,,,,-19.863,-65.167323,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
CAVL004,L0LEI,MAD,,L0LEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,LCAV,,CRYO,10.6508,34.94357,-18.583304,-60.968845,,,,,,,,"	- NO SECTION -",,,,,,N,1.037743,1300,1.742281912,29.0272404312,1.678914636861,1,,,,,,,,,,,,,,,,,,,,,,,,-18.58330408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
CAVL005,L0LEI,MAD,,L0LEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,LCAV,,CRYO,12.0344,39.48294,-17.199704,-56.429475,,,,,,,,"	- NO SECTION -",,,,,,N,1.037744,1300,12.184006228,0,11.74085923696,1,,,,,,,,,,,,,,,,,,,,,,,,-17.19970408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
CSP00,L0LEI,MAD,,L0LEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,INST,,,12.17475,39.943406,-17.059354,-55.969009,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.05935408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
CAVL006,L0LEI,MAD,,L0LEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,LCAV,,CRYO,13.418,44.02231,-15.816104,-51.890105,,,,,,,,"	- NO SECTION -",,,,,,N,1.037743,1300,12.18400623,0,11.740870552728,1,,,,,,,,,,,,,,,,,,,,,,,,-15.81610408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
CAVL007,L0LEI,MAD,,L0LEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,LCAV,,CRYO,14.8016,48.56168,-14.432504,-47.350735,,,,,,,,"	- NO SECTION -",,,,,,N,1.037743,1300,12.18400623,0,11.740870552728,1,,,,,,,,,,,,,,,,,,,,,,,,-14.43250408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
PEN0008,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,00,0-8,,PEN,,,,,-13.615,-44.668635,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
CAVL008,L0LEI,MAD,,L0LEI,,,,308,,SYMBOLS,A,AD_ACCEL,NULL,,,LCAV,,CRYO,16.1852,53.10105,-13.048904,-42.811365,,,,,,,,"	- NO SECTION -",,,,,,N,1.037743,1300,12.18400623,0,11.740870552728,1,,,,,,,,,,,,,,,,,,,,,,,,-13.04890408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,"SC_BSYD2, SC_DASEL2, SC_DIAG02, SC_DIAGIS, SC_HXR2, SC_S2_X2, SC_SFTS2, SC_STMO2, SC_STXI2, SC_SXR2, "
